# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:44:27 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_long.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	long.207.1
0	-1889.3086223147986	-293.30133783794116	-1596.0072844768574	-1596.0072844768574	9.236476722599999	1998.3935232774002	189.54211632337905	1.0	-75.93851347792577
500	-385.37114415900703	-147.11289739715662	-238.2582467618504	-238.2582467618504	9.236476722599999	1998.3935232774002	189.54211632337905	0.3234871374533566	-74.83247864682436
1000	-371.21290903035225	-120.134721533536	-251.07818749681624	-251.07818749681624	9.236476722599999	1998.3935232774002	189.54211632337905	0.3902495562274926	-74.48344071470444
1500	-364.41380342092316	-128.12914026238343	-236.28466315853973	-236.28466315853973	9.236476722599999	1998.3935232774002	189.54211632337905	0.38336434582972795	-76.07840264739458
2000	-415.201291035061	-171.20299879694625	-243.99829223811477	-243.99829223811477	9.236476722599999	1998.3935232774002	189.54211632337905	0.43915328220931554	-74.12981318264517
2500	-365.14227636234625	-126.73132713531547	-238.41094922703076	-238.41094922703076	9.236476722599999	1998.3935232774002	189.54211632337905	0.4409629545752912	-75.38142312348113
3000	-416.06679053893913	-163.11861301955324	-252.94817751938587	-252.94817751938587	9.236476722599999	1998.3935232774002	189.54211632337905	0.5726699044294076	-74.205009945268
3500	-412.87056168212337	-154.43002199085802	-258.4405396912653	-258.4405396912653	9.236476722599999	1998.3935232774002	189.54211632337905	0.5674854741982297	-73.46870648547406
4000	-404.12533503433673	-144.93977022282638	-259.18556481151035	-259.18556481151035	9.236476722599999	1998.3935232774002	189.54211632337905	0.6475329144404753	-76.78343020271265
4500	-411.6016473863434	-150.27849408126667	-261.32315330507674	-261.32315330507674	9.236476722599999	1998.3935232774002	189.54211632337905	0.6994846619830873	-76.18578905442013
