# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:38:24 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_lat.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	lat.207.1
30000	-343.45421222249877	-155.0876215824909	-188.36659064000784	-188.36659064000784	9.236476722599999	1998.3935232774002	189.54211632337905	0.1855425078258771	42.86975671384522
30500	-372.7922354606816	-175.55055313933073	-197.24168232135082	-197.24168232135082	9.236476722599999	1998.3935232774002	189.54211632337905	0.2277461847979874	40.67162533142717
31000	-336.36479381819254	-153.13878921093414	-183.22600460725843	-183.22600460725843	9.236476722599999	1998.3935232774002	189.54211632337905	0.16222164194366212	42.253739378371506
31500	-346.2806722763619	-162.7712537952627	-183.50941848109915	-183.50941848109915	9.236476722599999	1998.3935232774002	189.54211632337905	0.1368029819942021	40.909154213676814
32000	-340.0336752863868	-152.29281253680878	-187.74086274957804	-187.74086274957804	9.236476722599999	1998.3935232774002	189.54211632337905	0.14186340188510518	40.83242128922935
32500	-293.54347699458725	-124.51223907027827	-169.03123792430898	-169.03123792430898	9.236476722599999	1998.3935232774002	189.54211632337905	0.10263954696820998	41.92084437274811
33000	-334.5039100760945	-123.68338919944502	-210.82052087664945	-210.82052087664945	9.236476722599999	1998.3935232774002	189.54211632337905	0.16770229375253906	43.09274517149474
33500	-365.3411997328932	-184.08301476088013	-181.25818497201303	-181.25818497201303	9.236476722599999	1998.3935232774002	189.54211632337905	0.20059858050888824	40.71019403338334
34000	-287.7105613067238	-121.84522903054831	-165.86533227617548	-165.86533227617548	9.236476722599999	1998.3935232774002	189.54211632337905	0.06775333269129177	42.42387004262978
34500	-353.410284121787	-163.5475826486038	-189.86270147318322	-189.86270147318322	9.236476722599999	1998.3935232774002	189.54211632337905	0.16313015864869307	41.370175056498496
35000	-365.8166346433099	-178.91989432532915	-186.89674031798074	-186.89674031798074	9.236476722599999	1998.3935232774002	189.54211632337905	0.2230103139429608	42.52945287565955
35500	-277.807006200858	-103.00909778124286	-174.7979084196151	-174.7979084196151	9.236476722599999	1998.3935232774002	189.54211632337905	0.0855968577421926	42.61174510744718
36000	-368.9623368491334	-180.95356051566463	-188.0087763334688	-188.0087763334688	9.236476722599999	1998.3935232774002	189.54211632337905	0.21793998183773095	40.72482253173753
36500	-366.53353639259194	-173.7739608715748	-192.75957552101713	-192.75957552101713	9.236476722599999	1998.3935232774002	189.54211632337905	0.26889850979733243	43.03055925841324
37000	-353.16917001363373	-172.6711859176809	-180.49798409595283	-180.49798409595283	9.236476722599999	1998.3935232774002	189.54211632337905	0.14399885730409867	42.765615251939124
37500	-349.9972201297012	-174.05158069688488	-175.94563943281628	-175.94563943281628	9.236476722599999	1998.3935232774002	189.54211632337905	0.08921604535578431	42.52880808807751
38000	-295.4363025201103	-111.79319881347595	-183.64310370663435	-183.64310370663435	9.236476722599999	1998.3935232774002	189.54211632337905	0.11433264170634354	42.247966072218816
38500	-343.0918317290294	-148.17422758856094	-194.9176041404685	-194.9176041404685	9.236476722599999	1998.3935232774002	189.54211632337905	0.1877285410322449	41.16283670581763
39000	-293.62654914998944	-110.39414469161191	-183.23240445837752	-183.23240445837752	9.236476722599999	1998.3935232774002	189.54211632337905	0.11185829013596535	40.63719958576638
39500	-343.0738160058378	-155.16992334472803	-187.90389266110975	-187.90389266110975	9.236476722599999	1998.3935232774002	189.54211632337905	0.2276880298883791	41.70469722016571
40000	-321.5986315290827	-129.6306966462159	-191.9679348828668	-191.9679348828668	9.236476722599999	1998.3935232774002	189.54211632337905	0.15301439949023035	40.993397891743534
40500	-321.238658565156	-137.5277180923219	-183.71094047283412	-183.71094047283412	9.236476722599999	1998.3935232774002	189.54211632337905	0.1767488403517267	40.94124987002399
41000	-343.1811965831954	-147.30318602040055	-195.87801056279486	-195.87801056279486	9.236476722599999	1998.3935232774002	189.54211632337905	0.19812914927543362	41.226732290975335
41500	-354.9525167829561	-173.36925243575283	-181.58326434720325	-181.58326434720325	9.236476722599999	1998.3935232774002	189.54211632337905	0.1568890775347857	42.098791093536164
42000	-318.02343112801645	-130.23160060070055	-187.79183052731594	-187.79183052731594	9.236476722599999	1998.3935232774002	189.54211632337905	0.14821754844744742	40.75165541014267
42500	-353.0222226104523	-168.57267814874265	-184.44954446170962	-184.44954446170962	9.236476722599999	1998.3935232774002	189.54211632337905	0.16451594977312173	40.72120733391727
43000	-297.47576196888207	-112.14078741576388	-185.33497455311817	-185.33497455311817	9.236476722599999	1998.3935232774002	189.54211632337905	0.11046595475190761	40.35029998296012
43500	-338.58505353862074	-156.96330095849225	-181.6217525801285	-181.6217525801285	9.236476722599999	1998.3935232774002	189.54211632337905	0.1316620535477169	42.59800607194824
44000	-342.52376719048306	-152.9392547940111	-189.58451239647195	-189.58451239647195	9.236476722599999	1998.3935232774002	189.54211632337905	0.19911851770255912	42.26718224814479
44500	-345.3813634278633	-159.12875295139605	-186.25261047646723	-186.25261047646723	9.236476722599999	1998.3935232774002	189.54211632337905	0.17259153739243605	42.13320239254609
45000	-317.20407869314454	-124.04574953443816	-193.1583291587064	-193.1583291587064	9.236476722599999	1998.3935232774002	189.54211632337905	0.12668144484237925	42.52262166904937
45500	-324.6532314375707	-156.9776216245405	-167.6756098130302	-167.6756098130302	9.236476722599999	1998.3935232774002	189.54211632337905	0.11150151958269063	42.791696321677726
46000	-360.55862318625566	-165.6672006722159	-194.8914225140398	-194.8914225140398	9.236476722599999	1998.3935232774002	189.54211632337905	0.26836223843601975	41.13988880073778
46500	-343.2810800716394	-147.0149030514946	-196.26617702014477	-196.26617702014477	9.236476722599999	1998.3935232774002	189.54211632337905	0.2135944249065757	40.74790522155018
47000	-320.3652049565686	-135.48988411692605	-184.87532083964254	-184.87532083964254	9.236476722599999	1998.3935232774002	189.54211632337905	0.11410741712393943	41.01466303914791
47500	-295.6599351942246	-114.36976390452382	-181.29017128970077	-181.29017128970077	9.236476722599999	1998.3935232774002	189.54211632337905	0.09227638730205778	40.929528467263154
48000	-335.7572162409184	-148.79101019758812	-186.96620604333032	-186.96620604333032	9.236476722599999	1998.3935232774002	189.54211632337905	0.14492400617592022	41.56085326563137
48500	-338.4184651026844	-152.15624781017155	-186.2622172925129	-186.2622172925129	9.236476722599999	1998.3935232774002	189.54211632337905	0.15207187601596733	40.751036201159316
